Sample_Date,Short_Code,Block,Plot,Treatment,Crop,pH,Bray-P_ppm,K_ppm,NO3_ppm,NH4_ppm,Total_C_wt_%,Total_N_wt_%,OM,Bio-N
23May2023,1A,1,A,straw,strawberries,6.7,318,NA,72.3,24,3.19,0.31,,
23May2023,1B,1,B,bare,collards,6.94,320,NA,32.4,1.8,3.47,0.32,,
23May2023,1C,1,C,cardboard,beans,7.1,319,NA,35.5,2.5,3.51,0.32,,
23May2023,1D,1,D,cardboard,strawberries,6.84,315,NA,41.9,1.8,3.51,0.32,,
23May2023,1E,1,E,cardboard,collards,6.99,312,NA,32.2,0.4,3.72,0.34,,
23May2023,1F,1,F,straw,beans,7.05,287,NA,36.9,1.8,3.67,0.33,,
23May2023,1G,1,G,bare,strawberries,6.91,302,NA,39.6,6.3,3.69,0.33,,
23May2023,1H,1,H,straw,collards,6.91,295,NA,41.3,3.7,3.67,0.33,,
23May2023,1I,1,I,bare,beans,6.93,314,NA,28,3.3,3.58,0.33,,
23May2023,2A,2,A,cardboard,collards,7.04,304,NA,29.4,5.1,3.39,0.32,,
23May2023,2B,2,B,straw,beans,6.96,310,NA,15.5,1.4,3.3,0.3,,
23May2023,2C,2,C,cardboard,strawberries,7.05,297,NA,26.6,5,3.48,0.32,,
23May2023,2D,2,D,bare,collards,7.03,312,NA,42,2,3.67,0.33,,
23May2023,2E,2,E,bare,beans,6.97,288,NA,35.7,2.6,3.61,0.34,,
23May2023,2F,2,F,bare,strawberries,6.98,304,NA,30.9,3.1,3.64,0.33,,
23May2023,2G,2,G,straw,collards,6.94,302,NA,40.8,3.5,3.71,0.33,,
23May2023,2H,2,H,cardboard,beans,7.03,300,NA,36.8,4.7,3.73,0.34,,
23May2023,2I,2,I,straw,strawberries,6.98,303,NA,32.9,1.7,3.67,0.34,,
23May2023,3A,3,A,bare,beans,7.04,292,NA,28.3,1,3.55,0.33,,
23May2023,3B,3,B,cardboard,collards,7,313,NA,27.3,3.4,3.57,0.33,,
23May2023,3C,3,C,straw,strawberries,7,305,NA,28,1,3.69,0.33,,
23May2023,3D,3,D,straw,beans,6.89,307,NA,33.5,3.3,3.8,0.35,,
23May2023,3E,3,E,bare,collards,6.87,308,NA,25.2,3,3.81,0.35,,
23May2023,3F,3,F,bare,strawberries,6.92,301,NA,34.5,5.1,3.87,0.35,,
23May2023,3G,3,G,cardboard,beans,7.01,313,NA,44.2,1.6,3.93,0.36,,
23May2023,3H,3,H,straw,collards,6.9,304,NA,41.1,1.9,3.91,0.35,,
23May2023,3I,3,I,cardboard,strawberries,6.99,306,NA,46.9,4.9,4.03,0.37,,
23May2023,4A,4,A,straw,collards,6.91,299,NA,36.3,5.5,3.65,0.34,,
23May2023,4B,4,B,cardboard,beans,6.87,298,NA,34.9,0.3,3.63,0.35,,
23May2023,4C,4,C,bare,strawberries,6.9,300,NA,43.3,1.6,3.63,0.33,,
23May2023,4D,4,D,bare,collards,6.99,305,NA,33.6,1.1,4.01,0.36,,
23May2023,4E,4,E,bare,beans,6.91,308,NA,50.4,1.5,3.76,0.34,,
23May2023,4F,4,F,straw,strawberries,6.89,310,NA,45.7,0.3,3.89,0.36,,
23May2023,4G,4,G,cardboard,collards,6.9,310,NA,54.1,0.3,4.05,0.36,,
23May2023,4H,4,H,straw,beans,6.8,315,NA,57,6.3,4.04,0.37,,
23May2023,4I,4,I,cardboard,strawberries,6.84,306,NA,50.9,2.4,3.85,0.36,,
23May2023,5A,5,A,cardboard,strawberries,6.76,311,NA,51,0.6,3.63,0.33,,
23May2023,5B,5,B,cardboard,strawberries,7.02,317,NA,31.2,1.3,3.66,0.34,,
23May2023,5C,5,C,straw,strawberries,7.03,318,NA,31.6,2.9,3.62,0.32,,
23May2023,5D,5,D,straw,strawberries,7,294,NA,25.3,1.7,3.65,0.34,,
