date_collected,block,plot,treatment,crop,direction,marketable_yield_g,unmarketable_yield_g,total_yield_g,notes
29Jun2023,1,B,BM,FC,NA,364.17,462.34,826.51,
29Jun2023,1,E,CM,FC,NA,816.11,313.12,1129.23,
29Jun2023,1,H,SM,FC,NA,1367.7,395.04,1762.74,
29Jun2023,2,A,CM,FC,NA,910.3,405.7,1316,
29Jun2023,2,D,BM,FC,NA,729.75,444.92,1174.67,
29Jun2023,2,G,SM,FC,NA,1073.89,505.72,1579.61,
29Jun2023,3,B,CM,FC,NA,0,0,0,
29Jun2023,3,E,BM,FC,NA,106.31,130.2,236.51,
29Jun2023,3,H,SM,FC,NA,727.35,1054.51,1781.86,
29Jun2023,4,A,SM,FC,NA,875.78,710.99,1586.77,
29Jun2023,4,D,BM,FC,NA,132.85,146.62,279.47,
29Jun2023,4,G,CM,FC,NA,0,0,0,
29Jun2023,edge,edge,edge,FC,NA,NA,NA,10010.88,
01Jul2023,1,A,SM,AS,NA,0,0,0,
01Jul2023,1,D,CM,AS,NA,0,0,0,
01Jul2023,1,G,BM,AS,NA,40,7,47,
01Jul2023,2,C,CM,AS,NA,0,0,0,
01Jul2023,2,F,BM,AS,NA,0,17,17,
01Jul2023,2,I,SM,AS,NA,30,10,40,
01Jul2023,3,C,SM,AS,NA,0,0,0,
01Jul2023,3,F,BM,AS,NA,0,0,0,
01Jul2023,3,I,CM,AS,NA,0,0,0,
01Jul2023,4,C,BM,AS,NA,5,0,5,
01Jul2023,4,F,SM,AS,NA,8,13,21,
01Jul2023,4,I,CM,AS,NA,6,8,14,
01Jul2023,edge,edge,edge,AS,NA,NA,NA,225,
03Jul2023,1,A,SM,AS,NA,19.37,5.48,24.85,
03Jul2023,1,B,BM,FC,NA,218.22,160.76,378.98,
03Jul2023,1,D,CM,AS,NA,39.3,25.3,64.6,
03Jul2023,1,E,CM,FC,NA,379.5,443.49,822.99,
03Jul2023,1,G,BM,AS,NA,32.7,1.65,34.35,
03Jul2023,1,H,SM,FC,NA,432.63,80.73,513.36,
03Jul2023,2,A,CM,FC,NA,374.43,474.28,848.71,
03Jul2023,2,C,CM,AS,NA,36.91,15.15,52.06,
03Jul2023,2,D,BM,FC,NA,492.27,276.88,769.15,
03Jul2023,2,F,BM,AS,NA,0,11.48,11.48,
03Jul2023,2,G,SM,FC,NA,551.03,237.19,788.22,
03Jul2023,2,I,SM,AS,NA,44.23,16.45,60.68,
03Jul2023,3,B,CM,FC,NA,226.41,244.14,470.55,
03Jul2023,3,C,SM,AS,NA,16.29,7.23,23.52,
03Jul2023,3,E,BM,FC,NA,295.52,488.38,783.9,
03Jul2023,3,F,BM,AS,NA,0,0,0,
03Jul2023,3,H,SM,FC,NA,382.21,491.47,873.68,
03Jul2023,3,I,CM,AS,NA,44.25,20.31,64.56,
03Jul2023,4,A,SM,FC,NA,529.02,362.74,891.76,
03Jul2023,4,C,BM,AS,NA,4.98,0,4.98,
03Jul2023,4,D,BM,FC,NA,319.9,424.83,744.73,
03Jul2023,4,F,SM,AS,NA,42.74,13.62,56.36,
03Jul2023,4,G,CM,FC,NA,28.79,532.34,561.13,
03Jul2023,4,I,CM,AS,NA,12.48,4.95,17.43,
03Jul2023,5,A,CM,AS,NA,39.24,0,39.24,
03Jul2023,5,B,CM,AS,NA,8.92,5.83,14.75,
03Jul2023,5,C,SM,AS,NA,68.54,17.63,86.17,
03Jul2023,5,D,SM,AS,NA,49.13,0,49.13,
03Jul2023,5,E,BM,AS,NA,35.92,24.53,60.45,
