date-time,bare soil,cardboard mulch
6/29/2023 11:10,,10.20%
6/29/2023 11:15,,10%
6/29/2023 11:16,,10.10%
6/29/2023 11:31,,9.90%
6/29/2023 11:38,0%,10%
6/29/2023 11:42,17.20%,10%
6/29/2023 11:44,17.30%,9.90%
6/29/2023 11:59,17.60%,10%
6/29/2023 12:14,17.40%,9.80%
6/29/2023 12:29,17.40%,9.90%
6/29/2023 14:05,16.80%,9.70%
6/29/2023 14:06,16.90%,9.70%
6/29/2023 14:21,16.90%,9.60%
6/29/2023 14:36,16.80%,9.50%
6/29/2023 14:51,16.70%,9.60%
6/29/2023 15:07,16.80%,9.40%
6/29/2023 15:22,16.70%,9.50%
6/29/2023 15:37,16.70%,9.40%
6/29/2023 17:24,16.20%,9.30%
6/29/2023 17:25,16.20%,9.40%
6/29/2023 17:40,16.20%,9.40%
6/29/2023 17:55,16.10%,9.30%
6/29/2023 18:10,16.20%,9.30%
6/29/2023 18:26,16.10%,9.20%
6/29/2023 18:41,16%,9.30%
6/29/2023 18:56,16.10%,9.40%
6/29/2023 19:11,16.10%,9.30%
6/29/2023 19:26,16.10%,9.30%
6/29/2023 19:41,16%,9.30%
6/29/2023 19:56,16%,9.30%
6/29/2023 20:11,16.10%,9.40%
6/29/2023 20:27,16.10%,9.40%
6/29/2023 20:42,16.10%,9.40%
6/29/2023 20:57,16.10%,9.30%
6/29/2023 21:12,16%,9.50%
6/29/2023 21:27,16%,9.60%
6/29/2023 21:42,16%,9.60%
6/29/2023 21:57,16.10%,9.50%
6/30/2023 0:01,16.20%,9.50%
6/30/2023 0:03,16.20%,9.40%
6/30/2023 0:18,16.10%,9.60%
6/30/2023 0:33,16.10%,9.60%
6/30/2023 0:48,16.10%,9.70%
6/30/2023 1:03,16.10%,9.50%
6/30/2023 1:18,16.20%,9.70%
6/30/2023 1:33,16%,9.60%
6/30/2023 1:48,16.20%,9.70%
6/30/2023 2:04,16.20%,9.60%
6/30/2023 2:19,16.10%,9.70%
6/30/2023 2:34,16.10%,9.60%
6/30/2023 2:49,16.10%,9.60%
6/30/2023 3:04,16%,9.60%
6/30/2023 3:19,16.10%,9.80%
6/30/2023 3:35,16.10%,9.80%
6/30/2023 3:50,16.10%,9.70%
6/30/2023 4:05,16.20%,9.70%
6/30/2023 4:20,16.20%,9.80%
6/30/2023 4:35,16.20%,9.80%
6/30/2023 4:50,16.20%,9.70%
6/30/2023 6:39,16.20%,9.80%
6/30/2023 6:40,16.20%,9.80%
6/30/2023 6:55,16.20%,9.80%
6/30/2023 7:10,16.20%,9.80%
6/30/2023 7:25,16.20%,9.70%
6/30/2023 8:51,16.30%,9.80%
6/30/2023 8:52,16.40%,9.80%
6/30/2023 9:07,16.20%,9.70%
6/30/2023 9:22,16.20%,9.70%
6/30/2023 9:37,16.30%,9.60%
6/30/2023 11:04,15.90%,9.40%
6/30/2023 11:06,15.90%,9.50%
6/30/2023 11:21,15.80%,9.40%
6/30/2023 11:36,15.70%,9.40%
6/30/2023 11:51,15.70%,9.40%
6/30/2023 12:06,15.70%,9.30%
6/30/2023 12:22,15.50%,9.30%
6/30/2023 12:37,15.50%,9.20%
