sample_date,block,plot,treatment,crop,pH,bray_p_ppm,k_ppm,NO3_ppm,NH4_ppm,total_c_wt_pct,total_n_wt_pct
05/23/2023,1,A,SM,AS,6.7,318,,72.3,24,3.19,0.31
05/23/2023,1,B,BM,FC,6.94,320,,32.4,1.8,3.47,0.32
05/23/2023,1,C,CM,DB,7.1,319,,35.5,2.5,3.51,0.32
05/23/2023,1,D,CM,AS,6.84,315,,41.9,1.8,3.51,0.32
05/23/2023,1,E,CM,FC,6.99,312,,32.2,0.4,3.72,0.34
05/23/2023,1,F,SM,DB,7.05,287,,36.9,1.8,3.67,0.33
05/23/2023,1,G,BM,AS,6.91,302,,39.6,6.3,3.69,0.33
05/23/2023,1,H,SM,FC,6.91,295,,41.3,3.7,3.67,0.33
05/23/2023,1,I,BM,DB,6.93,314,,28,3.3,3.58,0.33
05/23/2023,2,A,CM,FC,7.04,304,,29.4,5.1,3.39,0.32
05/23/2023,2,B,SM,DB,6.96,310,,15.5,1.4,3.3,0.3
05/23/2023,2,C,CM,AS,7.05,297,,26.6,5,3.48,0.32
05/23/2023,2,D,BM,FC,7.03,312,,42,2,3.67,0.33
05/23/2023,2,E,BM,DB,6.97,288,,35.7,2.6,3.61,0.34
05/23/2023,2,F,BM,AS,6.98,304,,30.9,3.1,3.64,0.33
05/23/2023,2,G,SM,FC,6.94,302,,40.8,3.5,3.71,0.33
05/23/2023,2,H,CM,DB,7.03,300,,36.8,4.7,3.73,0.34
05/23/2023,2,I,SM,AS,6.98,303,,32.9,1.7,3.67,0.34
05/23/2023,3,A,BM,DB,7.04,292,,28.3,1,3.55,0.33
05/23/2023,3,B,CM,FC,7,313,,27.3,3.4,3.57,0.33
05/23/2023,3,C,SM,AS,7,305,,28,1,3.69,0.33
05/23/2023,3,D,SM,DB,6.89,307,,33.5,3.3,3.8,0.35
05/23/2023,3,E,BM,FC,6.87,308,,25.2,3,3.81,0.35
05/23/2023,3,F,BM,AS,6.92,301,,34.5,5.1,3.87,0.35
05/23/2023,3,G,CM,DB,7.01,313,,44.2,1.6,3.93,0.36
05/23/2023,3,H,SM,FC,6.9,304,,41.1,1.9,3.91,0.35
05/23/2023,3,I,CM,AS,6.99,306,,46.9,4.9,4.03,0.37
05/23/2023,4,A,SM,FC,6.91,299,,36.3,5.5,3.65,0.34
05/23/2023,4,B,CM,DB,6.87,298,,34.9,0.3,3.63,0.35
05/23/2023,4,C,BM,AS,6.9,300,,43.3,1.6,3.63,0.33
05/23/2023,4,D,BM,FC,6.99,305,,33.6,1.1,4.01,0.36
05/23/2023,4,E,BM,DB,6.91,308,,50.4,1.5,3.76,0.34
05/23/2023,4,F,SM,AS,6.89,310,,45.7,0.3,3.89,0.36
05/23/2023,4,G,CM,FC,6.9,310,,54.1,0.3,4.05,0.36
05/23/2023,4,H,SM,DB,6.8,315,,57,6.3,4.04,0.37
05/23/2023,4,I,CM,AS,6.84,306,,50.9,2.4,3.85,0.36
05/23/2023,5,A,CM,AS,6.76,311,,51,0.6,3.63,0.33
05/23/2023,5,B,CM,AS,7.02,317,,31.2,1.3,3.66,0.34
05/23/2023,5,C,SM,AS,7.03,318,,31.6,2.9,3.62,0.32
05/23/2023,5,D,SM,AS,7,294,,25.3,1.7,3.65,0.34
05/23/2023,5,E,BM,AS,7,295,,29.5,2,3.68,0.33
05/23/2023,5,F,CM,AS,7.01,305,,34.9,1.5,3.7,0.35
05/23/2023,5,G,BM,AS,6.91,306,,27.7,1.9,3.94,0.35
05/23/2023,5,H,SM,AS,6.95,306,,26.8,1.6,4.06,0.36
05/23/2023,5,I,BM,AS,7.02,308,,27.7,0.6,3.95,0.36
07/05/2023,1,A,SM,AS,NA,NA,NA,12.3,3.2,NA,NA
07/05/2023,1,B,BM,FC,NA,NA,NA,15.8,4.8,NA,NA
