sample_date,block,plot,treatment,crop,field_time,sample_number,bed_location,direction,rod_length_in,notes,tdr_dattime,vwc_percent,period,EC,soil_temp_C,soil_temp_F,Temp_IR,Temp_IR(F),Latitude,Longitude,Satellites,Fix,Rod Length,Soil Type,VWC Mode,HDoP
6/22/2023,1,A,SM,AS,9:40,,edge,,8,,6/22/2023 9:42,15.7,2742,0.1,29,84.1,,,,,,,,,,
6/22/2023,1,A,SM,AS,,,edge,,8,,6/22/2023 9:43,16.7,2778,0.09,29.2,84.6,,,,,,,,,,
6/22/2023,1,A,SM,AS,,,edge,,8,,6/22/2023 9:43,7.9,2464,0.02,29.5,85.2,,,,,,,,,,
6/22/2023,1,A,SM,AS,,,hose,,8,,6/22/2023 9:43,24.9,3074,0.16,29.9,85.8,,,,,,,,,,
6/22/2023,1,A,SM,AS,,,hose,,8,,6/22/2023 9:43,25.4,3094,0.16,29.9,85.8,,,,,,,,,,
6/22/2023,1,A,SM,AS,,,hose,,8,,6/22/2023 9:43,28.3,3196,0.18,30,85.9,,,,,,,,,,
6/22/2023,1,B,BM,FC,9:44,,edge,,8,,6/22/2023 9:44,13.7,2673,0.06,30.9,87.5,,,,,,,,,,
6/22/2023,1,B,BM,FC,,,edge,,8,,6/22/2023 9:45,12,2609,0.07,30.9,87.5,,,,,,,,,,
6/22/2023,1,B,BM,FC,,,edge,,8,,6/22/2023 9:45,11.3,2584,0.05,31,87.8,,,,,,,,,,
6/22/2023,1,B,BM,FC,,,hose,,8,,6/22/2023 9:45,26.5,3134,0.18,30.9,87.5,,,,,,,,,,
6/22/2023,1,B,BM,FC,,,hose,,8,,6/22/2023 9:45,26.3,3124,0.17,30.8,87.4,,,,,,,,,,
6/22/2023,1,B,BM,FC,,,hose,,8,,6/22/2023 9:45,29.6,3245,0.22,30.9,87.5,,,,,,,,,,
6/22/2023,1,C,CM,DB,9:46,,edge,,8,,6/22/2023 9:46,9,2502,0.05,30.7,87.3,,,,,,,,,,
6/22/2023,1,C,CM,DB,,,edge,,8,,6/22/2023 9:46,13.8,2675,0.03,30.7,87.3,,,,,,,,,,
6/22/2023,1,C,CM,DB,,,edge,,8,,6/22/2023 9:46,8,2467,0.03,30.8,87.4,,,,,,,,,,
6/22/2023,1,C,CM,DB,,,hose,,8,,6/22/2023 9:46,14.1,2685,0.09,30.9,87.5,,,,,,,,,,
6/22/2023,1,C,CM,DB,,,hose,,8,,6/22/2023 9:46,21.7,2958,0.12,31.1,88,,,,,,,,,,
6/22/2023,1,C,CM,DB,,,hose,,8,,6/22/2023 9:47,26.7,3140,0.16,31.2,88.1,,,,,,,,,,
6/22/2023,1,D,CM,AS,9:48,,edge,,8,,6/22/2023 9:47,12.1,2615,0.07,31.1,88,,,,,,,,,,
6/22/2023,1,D,CM,AS,,,edge,,8,,6/22/2023 9:48,9.2,2511,0.04,31.3,88.3,,,,,,,,,,
6/22/2023,1,D,CM,AS,,,edge,,8,,6/22/2023 9:48,10.3,2548,0.05,31.4,88.6,,,,,,,,,,
6/22/2023,1,D,CM,AS,,,hose,,8,,6/22/2023 9:48,26.5,3131,0.22,31.7,89,,,,,,,,,,
6/22/2023,1,D,CM,AS,,,hose,,8,,6/22/2023 9:48,26.4,3128,0.17,31.8,89.2,,,,,,,,,,
6/22/2023,1,D,CM,AS,,,hose,,8,,6/22/2023 9:48,23.7,3032,0.15,31.8,89.2,,,,,,,,,,
6/22/2023,1,E,CM,FC,9:50,,edge,,8,,6/22/2023 9:50,9.5,2519,0,31.6,88.9,,,,,,,,,,
6/22/2023,1,E,CM,FC,,,edge,,8,,6/22/2023 9:50,12.8,2640,0.06,31.6,89,,,,,,,,,,
6/22/2023,1,E,CM,FC,,,edge,,8,,6/22/2023 9:50,6.7,2420,0,31.9,89.4,,,,,,,,,,
6/22/2023,1,E,CM,FC,,,hose,,8,,6/22/2023 9:50,23,3008,0.14,32,89.6,,,,,,,,,,
6/22/2023,1,E,CM,FC,,,hose,,8,,6/22/2023 9:50,26.8,3142,0.18,32,89.6,,,,,,,,,,
6/22/2023,1,E,CM,FC,,,hose,,8,,6/22/2023 9:50,23.2,3015,0.14,32,89.6,,,,,,,,,,
6/22/2023,1,F,SM,DB,9:51,,edge,,8,,6/22/2023 9:51,9.9,2534,0.05,32.2,90,,,,,,,,,,
6/22/2023,1,F,SM,DB,,,edge,,8,,6/22/2023 9:51,10,2537,0.04,32.2,90,,,,,,,,,,
6/22/2023,1,F,SM,DB,,,edge,,8,,6/22/2023 9:52,10.2,2547,0.04,32.3,90.2,,,,,,,,,,
6/22/2023,1,F,SM,DB,,,hose,,8,,6/22/2023 9:51,17.6,2813,0.08,32.3,90.2,,,,,,,,,,
6/22/2023,1,F,SM,DB,,,hose,,8,,6/22/2023 9:52,6.8,2424,0,32.9,91.2,,,,,,,,,,
6/22/2023,1,F,SM,DB,,,hose,,8,,6/22/2023 9:52,9.5,2521,0.07,33.1,91.6,,,,,,,,,,
6/22/2023,1,G,BM,AS,10:06,,edge,,8,,6/22/2023 10:06,10.9,2570,0.05,39.8,103.7,,,,,,,,,,
6/22/2023,1,G,BM,AS,,,edge,,8,,6/22/2023 10:07,7.1,2434,0.04,39.8,103.7,,,,,,,,,,
6/22/2023,1,G,BM,AS,,,edge,,8,,6/22/2023 10:07,9,2502,0.05,40,104,,,,,,,,,,
6/22/2023,1,G,BM,AS,,,hose,,8,,6/22/2023 10:07,15.9,2752,0.08,40.1,104.2,,,,,,,,,,
6/22/2023,1,G,BM,AS,,,hose,,8,,6/22/2023 10:07,19.8,2892,0.14,39.8,103.7,,,,,,,,,,
6/22/2023,1,G,BM,AS,,,hose,,8,,6/22/2023 10:07,24.7,3067,0.18,39.6,103.4,,,,,,,,,,
6/22/2023,1,H,SM,FC,10:08,,edge,,8,,6/22/2023 10:08,9.7,2527,0.04,39,102.2,,,,,,,,,,
