date,name,start time,end time,time elapsed,elapsed_hr,elapsed_min,total_time_min,flow_rate_gpm_100ft,drip_tube_ft,flow_rate_gpm,water_applied_gal,bed_width_ft,area_irrigated_acre,water_applied_gal_acre,irrigation_in,notes
5/26/2023,Matt/Nora,8:30,11:30,3:00,3,0,180,0.45,720,3.24,583.2,2,0.033057851,17641.8,0.649694336,approx
5/31/2023,Nora,13:15,15:55,2:40,2,40,160,0.45,720,3.24,518.4,2,0.033057851,15681.6,0.577506077,
6/2/2023,Nora,12:10,13:50,1:40,1,40,100,0.45,720,3.24,324,2,0.033057851,9801,0.360941298,
6/9/2023,Cece,9:36,13:16,3:40,3,40,220,0.45,720,3.24,712.8,2,0.033057851,21562.2,0.794070855,
6/12/2023,Cece,15:17,17:24,2:07,2,7,127,0.45,720,3.24,411.48,2,0.033057851,12447.27,0.458395448,
6/15/2023,Nora/Cece,13:00,15:32,2:32,2,32,152,0.45,720,3.24,492.48,2,0.033057851,14897.52,0.548630773,
6/20/2023,Cece/Nora,9:53,12:10,2:17,2,17,137,0.45,720,3.24,443.88,2,0.033057851,13427.37,0.494489578,
6/22/2023,Nora,13:38,15:31,1:53,1,53,113,0.45,720,3.24,366.12,2,0.033057851,11075.13,0.407863667,
6/23/2023,Nora,15:49,16:28,0:39,0,39,39,0.45,720,3.24,126.36,2,0.033057851,3822.39,0.140767106,
6/30/2023,Ceci,15:46,16:26,0:40,0,40,40,0.45,720,3.24,129.6,2,0.033057851,3920.4,0.144376519,
7/10/2023,Ceci / Nora,12:50,15:21,2:31,2,31,151,0.45,720,3.24,489.24,2,0.033057851,14799.51,0.54502136,
7/24/2023,Ceci / Nora,11:19,14:05,2:46,2,46,166,0.45,720,3.24,537.84,2,0.033057851,16269.66,0.599162554,
8/24/2023,Nora,9:03,10:33,1:30,1,30,90,0.45,720,3.24,291.6,2,0.033057851,8820.9,0.324847168,
8/25/2023,Nora,8:35,9:35,1:00,1,0,60,0.45,720,3.24,194.4,2,0.033057851,5880.6,0.216564779,
8/31/2023,Nora,8:30,11:30,3:00,3,0,180,0.45,720,3.24,583.2,2,0.033057851,17641.8,0.649694336,
9/5/2023,Nora,8:20,10:26,2:06,2,6,126,0.45,720,3.24,408.24,2,0.033057851,12349.26,0.454786035,
5/16/2024,Morgan,11:00,13:00,2:00,2,0,120,0.45,720,3.24,388.8,2,0.033057851,11761.2,0.433129557,
5/17/2024,Morgan,8:40,9:50,1:10,1,10,70,0.45,720,3.24,226.8,2,0.033057851,6860.7,0.252658908,
5/29/2024,Morgan,11:00,13:00,2:00,2,0,120,0.45,720,3.24,388.8,2,0.033057851,11761.2,0.433129557,
5/30/2024,Morgan,13:30,14:30,1:00,1,0,60,0.45,720,3.24,194.4,2,0.033057851,5880.6,0.216564779,
6/4/2024,Morgan,12:00,14:30,2:30,2,30,150,0.45,720,3.24,486,2,0.033057851,14701.5,0.541411947,
6/27/2024,Morgan ,9:55,12:16,2:21,2,21,141,0.45,720,3.24,456.84,2,0.033057851,13819.41,0.50892723,water turned on super low: did not drip as much water as usual 
