date_collected,block,plot,treatment,crop,tare_bag_g,wet_biomass_bag_g,od_biomass_bag_g,od_biomass_calculated_g,dry biomass weighed separately ,include in analysis?,quadrat size (m2),quadrat sample number,notes
13Jun2023,3,A,BM,DB,13.98,NA,30.67,16.69,,N,0.25,1,
13Jun2023,3,B,CM,FC,14.31,NA,34,19.69,,N,0.25,1,
13Jun2023,3,C,SM,AS,14.42,NA,28.46,14.04,,N,0.25,1,
13Jun2023,3,E,BM,FC,14.64,NA,47.16,32.52,,N,0.25,1,
13Jun2023,3,F,BM,AS,13.95,NA,31.69,17.74,,N,0.25,1,
13Jun2023,3,H,SM,FC,13.55,NA,33.59,20.04,,N,0.25,1,
13Jun2023,3,I,CM,AS,13.84,NA,28.96,15.12,,N,0.25,1,
12Jun2023,4,A,SM,FC,14.24,NA,23.52,9.28,,N,0.25,1,
12Jun2023,4,A,SM,FC,14.21,NA,31.49,17.28,,N,0.25,2,
13Jun2023,4,B,CM,DB,13.61,NA,32.52,18.91,,N,0.25,1,
13Jun2023,4,C,BM,AS,14.43,NA,34.12,19.69,,N,0.25,1,
13Jun2023,4,D,BM,FC,14.16,NA,40.09,25.93,,N,0.25,1,
13Jun2023,4,E,BM,DB,14.28,NA,38.48,24.2,,N,0.25,1,
13Jun2023,4,F,SM,AS,13.94,NA,32.89,18.95,,N,0.25,1,
12Jun2023,4,G,CM,FC,14.14,NA,27.26,13.12,,N,0.25,1,
12Jun2023,4,G,CM,FC,13.64,NA,28.55,14.91,,N,0.25,2,
13Jun2023,4,H,SM,DB,14.09,NA,38.93,24.84,,N,0.25,1,
13Jun2023,4,I,CM,AS,14.15,NA,41.98,27.83,,N,0.25,1,
07Jul2023,1,H,SM,FC,13.73,NA,14.3,0.57,0.86,Y,0.1,1,
07Jul2023,1,G,BM,AS,14.39,NA,16.33,1.94,2.38,Y,0.1,1,
07Jul2023,1,F,SM,DB,13.77,NA,13.43,-0.34,0.25,Y,0.1,1,
07Jul2023,1,I,BM,DB,14.43,NA,21.68,7.25,7.2,Y,0.1,1,
07Jul2023,1,E,CM,FC,NA,NA,NA,0,,Y,0.1,1,no weeds in this plot
07Jul2023,1,D,CM,AS,13.97,NA,15.51,1.54,2.11,Y,0.1,1,
07Jul2023,1,C,CM,DB,13.93,NA,13.61,-0.32,0.27,Y,0.1,1,
