"Time","Bare Soil","Cardboard Mulch"
2023-06-29 11:10:40,,10.2 %
2023-06-29 11:15:57,,10 %
2023-06-29 11:16:41,,10.1 %
2023-06-29 11:31:42,,9.90 %
2023-06-29 11:38:16,0 %,10 %
2023-06-29 11:42:51,17.2 %,10 %
2023-06-29 11:44:01,17.3 %,9.90 %
2023-06-29 11:59:09,17.6 %,10 %
2023-06-29 12:14:15,17.4 %,9.80 %
2023-06-29 12:29:15,17.4 %,9.90 %
2023-06-29 14:05:10,16.8 %,9.70 %
2023-06-29 14:06:29,16.9 %,9.70 %
2023-06-29 14:21:36,16.9 %,9.60 %
2023-06-29 14:36:43,16.8 %,9.50 %
2023-06-29 14:51:48,16.7 %,9.60 %
2023-06-29 15:07:00,16.8 %,9.40 %
2023-06-29 15:22:00,16.7 %,9.50 %
2023-06-29 15:37:00,16.7 %,9.40 %
2023-06-29 17:24:02,16.2 %,9.30 %
2023-06-29 17:25:36,16.2 %,9.40 %
2023-06-29 17:40:42,16.2 %,9.40 %
2023-06-29 17:55:50,16.1 %,9.30 %
2023-06-29 18:10:55,16.2 %,9.30 %
2023-06-29 18:26:07,16.1 %,9.20 %
2023-06-29 18:41:18,16 %,9.30 %
2023-06-29 18:56:25,16.1 %,9.40 %
2023-06-29 19:11:31,16.1 %,9.30 %
2023-06-29 19:26:37,16.1 %,9.30 %
2023-06-29 19:41:47,16 %,9.30 %
2023-06-29 19:56:46,16 %,9.30 %
2023-06-29 20:11:54,16.1 %,9.40 %
2023-06-29 20:27:02,16.1 %,9.40 %
2023-06-29 20:42:08,16.1 %,9.40 %
2023-06-29 20:57:18,16.1 %,9.30 %
2023-06-29 21:12:25,16 %,9.50 %
2023-06-29 21:27:32,16 %,9.60 %
2023-06-29 21:42:38,16 %,9.60 %
2023-06-29 21:57:37,16.1 %,9.50 %
2023-06-30 00:01:36,16.2 %,9.50 %
2023-06-30 00:03:14,16.2 %,9.40 %
2023-06-30 00:18:21,16.1 %,9.60 %
2023-06-30 00:33:26,16.1 %,9.60 %
2023-06-30 00:48:33,16.1 %,9.70 %
2023-06-30 01:03:33,16.1 %,9.50 %
2023-06-30 01:18:44,16.2 %,9.70 %
2023-06-30 01:33:50,16 %,9.60 %
2023-06-30 01:48:56,16.2 %,9.70 %
2023-06-30 02:04:03,16.2 %,9.60 %
2023-06-30 02:19:09,16.1 %,9.70 %
2023-06-30 02:34:20,16.1 %,9.60 %
2023-06-30 02:49:32,16.1 %,9.60 %
2023-06-30 03:04:43,16 %,9.60 %
2023-06-30 03:19:53,16.1 %,9.80 %
2023-06-30 03:35:04,16.1 %,9.80 %
2023-06-30 03:50:15,16.1 %,9.70 %
2023-06-30 04:05:19,16.2 %,9.70 %
2023-06-30 04:20:25,16.2 %,9.80 %
2023-06-30 04:35:31,16.2 %,9.80 %
2023-06-30 04:50:30,16.2 %,9.70 %
2023-06-30 06:39:05,16.2 %,9.80 %
2023-06-30 06:40:26,16.2 %,9.80 %
2023-06-30 06:55:34,16.2 %,9.80 %
2023-06-30 07:10:39,16.2 %,9.80 %
2023-06-30 07:25:39,16.2 %,9.70 %
2023-06-30 08:51:41,16.3 %,9.80 %
2023-06-30 08:52:14,16.4 %,9.80 %
2023-06-30 09:07:19,16.2 %,9.70 %
2023-06-30 09:22:27,16.2 %,9.70 %
2023-06-30 09:37:27,16.3 %,9.60 %
2023-06-30 11:04:11,15.9 %,9.40 %
2023-06-30 11:06:24,15.9 %,9.50 %
2023-06-30 11:21:30,15.8 %,9.40 %
2023-06-30 11:36:37,15.7 %,9.40 %
2023-06-30 11:51:45,15.7 %,9.40 %
2023-06-30 12:06:55,15.7 %,9.30 %
2023-06-30 12:22:03,15.5 %,9.30 %
2023-06-30 12:37:08,15.5 %,9.20 %
2023-06-30 12:52:16,15.6 %,9.20 %
2023-06-30 13:07:27,15.4 %,9.10 %
2023-06-30 13:22:35,15.4 %,9.10 %
2023-06-30 13:37:42,15.4 %,9.10 %
2023-06-30 13:52:47,15.4 %,9.20 %
2023-06-30 14:07:59,15.4 %,9.10 %
2023-06-30 14:23:04,15.4 %,9.10 %
2023-06-30 14:38:11,15.3 %,9 %
2023-06-30 14:53:17,15.2 %,8.90 %
2023-06-30 15:08:29,15.1 %,9 %
2023-06-30 15:23:34,15.3 %,9 %
2023-06-30 15:38:40,15.3 %,9 %
2023-06-30 15:53:40,15.1 %,8.80 %
2023-06-30 16:08:41,15.1 %,8.80 %
2023-06-30 16:23:37,15.1 %,8.80 %
2023-06-30 17:41:53,15 %,8.90 %
2023-06-30 17:43:20,15 %,8.80 %
2023-06-30 17:58:28,15.1 %,8.80 %
2023-06-30 18:13:27,15 %,8.80 %
2023-06-30 18:28:35,14.9 %,8.90 %
2023-06-30 18:43:35,14.8 %,8.70 %
2023-06-30 18:58:45,15 %,8.80 %
2023-06-30 19:13:54,14.9 %,8.80 %
2023-06-30 19:29:01,14.9 %,8.90 %
2023-06-30 19:44:06,14.9 %,8.80 %
2023-06-30 19:59:17,14.8 %,8.80 %
2023-06-30 20:14:23,14.9 %,9 %
2023-06-30 20:29:29,15 %,8.80 %
2023-06-30 20:44:30,14.8 %,8.90 %
2023-06-30 20:59:40,14.9 %,9 %
2023-06-30 21:14:45,14.9 %,8.90 %
2023-06-30 21:29:51,14.9 %,8.80 %
2023-06-30 21:44:57,14.8 %,9 %
2023-06-30 21:59:57,15 %,9 %
2023-06-30 23:13:13,15 %,9.10 %
2023-06-30 23:15:10,15 %,9 %
2023-06-30 23:30:17,15 %,9 %
2023-06-30 23:45:22,15.1 %,9 %
2023-07-01 00:00:30,15.1 %,9.20 %
2023-07-01 00:15:40,15 %,8.90 %
2023-07-01 00:30:46,15 %,9.10 %
2023-07-01 00:45:46,14.9 %,9.10 %
2023-07-01 02:31:58,15 %,9.20 %
2023-07-01 02:33:55,15.1 %,9.10 %
2023-07-01 02:49:02,15.1 %,8.90 %
2023-07-01 03:04:07,15.1 %,9.20 %
2023-07-01 03:19:14,15.1 %,9.20 %
2023-07-01 03:34:13,15 %,9.20 %
2023-07-01 03:49:24,15.1 %,9.20 %
2023-07-01 04:04:31,15 %,8.90 %
2023-07-01 04:19:36,15 %,9 %
2023-07-01 04:34:36,15.1 %,9.20 %
2023-07-01 04:49:42,15.1 %,9.30 %
2023-07-01 05:04:53,15.1 %,9.20 %
2023-07-01 05:19:59,15.1 %,9.30 %
2023-07-01 05:35:05,15.1 %,9.30 %
2023-07-01 05:50:11,15 %,9.10 %
2023-07-01 06:05:16,15 %,9.30 %
2023-07-01 06:20:27,15.1 %,9.40 %
2023-07-01 06:35:26,15 %,9.20 %
2023-07-01 06:50:33,15 %,9.30 %
2023-07-01 07:05:39,15 %,9.20 %
2023-07-01 07:20:45,14.9 %,9.30 %
2023-07-01 07:35:55,15 %,9.30 %
2023-07-01 07:51:00,15 %,9.10 %
2023-07-01 08:06:07,15.1 %,9.30 %
2023-07-01 08:21:13,15.1 %,9.30 %
2023-07-01 08:36:18,15.1 %,9.30 %
2023-07-01 08:51:17,15.1 %,9.30 %
2023-07-01 09:06:25,15.1 %,9.20 %
2023-07-01 09:21:32,15.1 %,9.20 %
2023-07-01 09:36:38,15 %,9.20 %
2023-07-01 09:51:49,15 %,9.20 %
2023-07-01 10:06:55,15 %,9.30 %
2023-07-01 10:22:01,15 %,9.20 %
2023-07-01 10:37:08,14.9 %,9.20 %
2023-07-01 10:52:19,15.1 %,9.20 %
