date_collected,block,plot,treatment,crop,tare_bag_g,field_moist_soil_bag_g,od_soil_bag_g,od_soil_g,bulk_density
05/23/2023,1,C,CM,DB,7.33,275.86,245.8,238.47,0.8235849476
05/23/2023,1,F,SM,DB,7.46,302.72,262.11,254.65,0.8782337291
05/23/2023,1,I,BM,DB,7.36,310.17,272.55,265.19,0.9132143103
05/23/2023,1,E,CM,FC,7.39,313.19,275.39,268,0.9227301006
05/23/2023,1,H,SM,FC,7.38,296.59,253.08,245.7,0.8479775368
05/23/2023,1,B,BM,FC,7.46,315.34,271.82,264.36,0.9107683501
05/23/2023,1,D,CM,AS,7.28,331.57,284.76,277.48,0.9541255073
05/23/2023,1,A,SM,AS,7.29,271.86,233.12,225.83,0.7810989544
05/23/2023,1,G,BM,AS,7.47,294.5,261.93,254.46,0.8776306157
05/23/2023,2,H,CM,DB,7.42,292.15,253.21,245.79,0.8484131187
05/23/2023,2,B,SM,DB,7.31,303.46,259.15,251.84,0.8683158632
05/23/2023,2,E,BM,DB,7.27,293.66,254.05,246.78,0.8512276483
05/23/2023,2,A,CM,FC,7.4,306.47,264.69,257.29,0.8868783555
05/23/2023,2,G,SM,FC,7.47,333.12,288.96,281.49,0.9681981549
05/23/2023,2,D,BM,FC,7.43,292.1,258.01,250.58,0.8644961446
05/23/2023,2,C,CM,AS,7.24,332.58,278.46,271.22,0.9330165359
05/23/2023,2,I,SM,AS,7.34,335.09,295.99,288.65,0.9917530864
05/23/2023,2,F,BM,AS,7.24,336.14,297.44,290.2,0.9966115005
05/24/2023,3,G,CM,DB,7.33,298.61,264.27,256.94,0.8854710908
05/24/2023,3,D,SM,DB,7.17,275.11,242.93,235.76,0.8139686384
05/24/2023,3,A,BM,DB,7.3,309.91,273.64,266.34,0.9168664974
05/24/2023,3,B,CM,FC,7.34,290.42,254.55,247.21,0.8529029635
05/24/2023,3,H,SM,FC,7.25,293.07,256.78,249.53,0.8603748692
05/24/2023,3,E,BM,FC,7.31,298.5,264.31,257,0.885605116
05/24/2023,3,I,CM,AS,7.17,265.82,226.94,219.77,0.7603920586
05/24/2023,3,C,SM,AS,7.15,333.82,289.82,282.67,0.971079697
05/24/2023,3,F,BM,AS,7.31,284.86,249.87,242.56,0.8372220133
05/24/2023,4,B,CM,DB,7.54,284.39,245.87,238.33,0.8238194917
05/24/2023,4,H,SM,DB,7.4,294.49,251.85,244.45,0.8438562614
05/24/2023,4,E,BM,DB,7.47,272.73,231.89,224.42,0.776977679
05/24/2023,4,G,CM,FC,7.39,291.68,249.37,241.98,0.8355466981
05/24/2023,4,A,SM,FC,7.44,312.01,267.32,259.88,0.8956905134
05/24/2023,4,D,BM,FC,7.5,274.67,241.65,234.15,0.8096798315
05/24/2023,4,I,CM,AS,7.28,255.8,225.34,218.06,0.75503105
05/24/2023,4,F,SM,AS,7.12,299.67,250.05,242.93,0.8378251267
05/24/2023,4,C,BM,AS,7.55,307.55,260.95,253.4,0.8743469979
05/24/2023,5,A,CM,AS,7.13,326.57,278.6,271.47,0.9334856241
05/24/2023,5,B,CM,AS,7.4,279.37,237.86,230.46,0.7969809424
05/24/2023,5,F,CM,AS,7.38,305.78,266.95,259.57,0.8944507802
05/24/2023,5,C,SM,AS,7.39,299.69,253.77,246.38,0.8502894718
05/24/2023,5,D,SM,AS,7.54,289.92,257.18,249.64,0.8617151214
05/24/2023,5,H,SM,AS,7.22,341.79,292.05,284.83,0.9785516027
05/24/2023,5,E,BM,AS,7.41,291.18,254.63,247.22,0.8531710139
05/24/2023,5,I,BM,AS,7.29,308.06,264.71,257.42,0.8869453681
05/24/2023,5,G,BM,AS,7.12,267.78,232.15,225.03,0.7778488429
10/17/2024,1,A,SM ,DB,14.27,388.05,339.43,325.16,1.089490975
10/17/2024,1,B,BM,AS,13.60,413.68,364.69,351.09,1.17637282
10/17/2024,1,C,CM,FC,13.93,435.76,378.79,364.86,1.222511001
10/17/2024,1,D,CM,DB,13.97,385.36,336.03,322.06,1.07910402
10/17/2024,1,E,CM,AS,15.01,397.83,349.44,334.43,1.120551318
10/17/2024,1,F,SM ,FC,13.77,397.92,357.37,343.6,1.151276599
10/17/2024,1,G,BM,DB,14.39,388.47,349.86,335.47,1.124035974
10/17/2024,1,H,SM ,AS,13.73,423.70,376.98,363.25,1.217116486
10/17/2024,1,I,BM,FC,14.43,395.95,356.36,341.93,1.145681046
10/17/2024,2,A,CM,AS,13.70,412.29,364.54,350.84,1.175535163
