date,name,start time,end time,time elapsed,elapsed_hr,elapsed_min,total_time_hr,notes
05/26/2023,Matt/Nora,8:30,11:30,3:00,3,0,3,approx
05/31/2023,Nora,13:15,15:55,2:40,2,40,2.666666667,
06/02/2023,Nora,12:10,13:50,1:40,1,40,1.666666667,
06/09/2023,Cece,9:36,13:16,3:40,3,40,3.666666667,
06/12/2023,Cece,15:17,17:24,2:07,2,7,2.116666667,
06/15/2023,Nora/Cece,13:00,15:32,2:32,2,32,2.533333333,
06/20/2023,Cece/Nora,9:53,12:10,2:17,2,17,2.283333333,
06/22/2023,Nora,13:38,15:31,1:53,1,53,1.883333333,
06/23/2023,Nora,15:49,16:28,0:39,0,39,0.65,
06/30/2023,Ceci,15:46,16:26,0:40,0,40,0.6666666667,
07/10/2023,Ceci / Nora,12:50,15:21,2:31,2,31,2.516666667,
07/24/2023,Ceci / Nora,11:19,14:05,2:46,2,46,2.766666667,
08/24/2023,Nora,9:03,10:33,1:30,1,30,1.5,
08/25/2023,Nora,8:35,9:35,1:00,1,0,1,
08/31/2023,Nora,8:30,11:30,3:00,3,0,3,
09/05/2023,Nora,8:20,10:26,2:06,2,6,2.1,
05/16/2024,Morgan,11:00,13:00,2:00,2,0,2,
05/17/2024,Morgan,8:40,9:50,1:10,1,10,1.166666667,
05/29/2024,Morgan,11:00,13:00,2:00,2,0,2,
05/30/2024,Morgan,13:30,14:30,1:00,1,0,1,
06/04/2024,Morgan,12:00,14:30,2:30,2,30,2.5,
06/27/2024,Morgan ,9:55,12:16,2:21,2,21,2.35,water turned on super low: did not drip as much water as usual 
