date_collected,weeding_point,block,plot,treatment,crop,tare_bag_g,wet_biomass_bag_g,od_biomass_bag_g,od_biomass_calculated_g,quadrat_m2,notes
07/07/2023,1,1,H,SM,FC,13.73,NA,14.3,0.57,0.1,
07/07/2023,1,1,G,BM,AS,14.39,NA,16.33,1.94,0.1,
07/07/2023,1,1,F,SM,DB,13.77,NA,13.43,-0.34,0.1,
07/07/2023,1,1,I,BM,DB,14.43,NA,21.68,7.25,0.1,
07/07/2023,1,1,E,CM,FC,NA,NA,NA,0,0.1,no weeds in this plot
07/07/2023,1,1,D,CM,AS,13.97,NA,15.51,1.54,0.1,
07/07/2023,1,1,C,CM,DB,13.93,NA,13.61,-0.32,0.1,
07/07/2023,1,1,A,SM,AS,14.27,NA,19.85,5.58,0.1,
07/07/2023,1,2,I,SM,AS,14.39,NA,15.44,1.05,0.1,
07/07/2023,1,1,B,BM,FC,14.27,NA,15.26,0.99,0.1,
07/07/2023,1,2,G,SM,FC,14.43,NA,14.41,-0.02,0.1,
07/07/2023,1,2,B,SM,DB,15.12,NA,15.65,0.53,0.1,
07/07/2023,1,2,F,BM,AS,13.5,NA,18.55,5.05,0.1,
07/07/2023,1,2,C,CM,AS,14.35,NA,15.65,1.3,0.1,
07/07/2023,1,2,D,BM,FC,14.15,NA,15.66,1.51,0.1,
07/07/2023,1,2,A,CM,FC,13.7,NA,13.74,0.04,0.1,
07/07/2023,1,2,E,BM,DB,14.12,NA,25.46,11.34,0.1,
07/07/2023,1,3,I,CM,AS,13.7,NA,14.92,1.22,0.1,
07/07/2023,1,3,H,SM,FC,14.41,NA,16.06,1.65,0.1,
07/07/2023,1,3,G,CM,DB,13.98,NA,13.97,-0.01,0.1,there was only a single weed in this plot
07/07/2023,1,3,F,BM,AS,14.16,NA,18.45,4.29,0.1,
07/07/2023,1,3,E,BM,FC,15.09,NA,18.28,3.19,0.1,
07/07/2023,1,3,D,SM,DB,13.52,NA,15.21,1.69,0.1,
07/07/2023,1,3,C,SM,AS,15.17,NA,21.59,6.42,0.1,
07/07/2023,1,4,I,CM,AS,13.9,NA,13.86,-0.04,0.1,
07/07/2023,1,3,A,BM,DB,14.62,NA,19.64,5.02,0.1,
07/07/2023,1,4,H,SM,DB,15.04,NA,14.88,-0.16,0.1,
07/07/2023,1,4,G,CM,FC,14.41,NA,14.26,-0.15,0.1,
07/07/2023,1,4,B,CM,DB,13.83,NA,16.51,2.68,0.1,
07/07/2023,1,4,C,BM,AS,14.43,NA,26.73,12.3,0.1,
07/07/2023,1,4,D,BM,FC,14.02,NA,15.81,1.79,0.1,
07/07/2023,1,4,F,SM,AS,14.29,NA,33.45,19.16,0.1,
07/07/2023,1,4,E,BM,DB,14.46,NA,20.53,6.07,0.1,
07/07/2023,1,4,A,SM,FC,14.04,NA,21.09,7.05,0.1,
07/07/2023,1,5,H,SM,AS,13.15,NA,22.89,9.74,0.1,
07/07/2023,1,5,I,BM,AS,14.19,NA,27.35,13.16,0.1,
07/07/2023,1,5,G,BM,AS,18.21,NA,19.93,1.72,0.1,
07/07/2023,1,5,F,CM,AS,14.04,NA,13.94,-0.1,0.1,
07/07/2023,1,5,E,BM,AS,13.24,NA,26.53,13.29,0.1,
07/07/2023,1,5,D,SM,AS,15.48,NA,36.22,20.74,0.1,
07/07/2023,1,5,B,CM,AS,14.8,NA,16.62,1.82,0.1,
07/07/2023,1,5,A,CM,AS,13.61,NA,15.19,1.58,0.1,
07/07/2023,1,5,C,SM,AS,13.31,NA,26.09,12.78,0.1,
07/07/2023,1,3,B,CM,FC,NA,NA,NA,0,0.1,no weeds in this plot
07/07/2023,1,2,H,CM,DB,13.2,NA,16.47,3.27,0.1,
07/20/2023,2,4,A,SM,FC,14.27,18.7,14.88,0.61,0.1,
07/20/2023,2,4,F,SM,AS,14.64,22.72,15.41,0.77,0.1,
07/20/2023,2,4,H,SM,DB,15.04,25.57,16.72,1.68,0.1,
07/20/2023,2,1,B,BM,FC,13.79,27.79,15.49,1.7,0.1,
07/20/2023,2,1,C,CM,DB,14.07,19.82,14.15,0.08,0.1,
07/20/2023,2,1,D,CM,AS,14.06,14.36,13.41,-0.65,0.1,
07/20/2023,2,1,E,CM,FC,NA,NA,NA,0,0.1,no weeds in this plot
07/20/2023,2,3,C,SM,AS,15.36,19.61,16,0.64,0.1,
07/20/2023,2,3,D,SM,DB,13.62,16.23,13.92,0.3,0.1,
07/20/2023,2,1,G,BM,AS,14.51,71.28,20.44,5.93,0.1,
07/20/2023,2,3,H,SM,FC,14.55,16.82,14.73,0.18,0.1,
07/20/2023,2,1,I,BM,DB,14.69,15.79,14.26,-0.43,0.1,
07/20/2023,2,2,B,SM,DB,15.28,18.6,15.53,0.25,0.1,
07/20/2023,2,2,A,CM,FC,NA,NA,NA,0,0.1,no weeds in this plot
07/20/2023,2,2,G,SM,FC,14.57,19.19,14.8,0.23,0.1,
