"","sample_date","treatment","min","median","max","mean","sd"
"1",2023-06-28,"BM",9.4,21.6,30.6,22.3138888888889,5.41633693470941
"2",2023-06-28,"CM",13,23.9,32.3,23.6263888888889,4.42785653976912
"3",2023-06-28,"SM",9.2,24,34.3,23.5402777777778,5.53288910909876
"4",2023-07-04,"BM",16.9,28.5,35.9,28.275,4.31723535688762
"5",2023-07-04,"CM",20.9,29.35,38.5,29.175,4.12692123419377
"6",2023-07-04,"SM",20.5,29.75,37.7,29.8625,5.19011621623526
"7",2023-07-13,"BM",7.2,16.1,31,17.7625,6.8558484851041
"8",2023-07-13,"CM",8,20.05,32.9,20.2069444444444,6.72777146177994
"9",2023-07-13,"SM",7.9,20.2,32.9,20.3041666666667,6.60139629916214
"10",2023-07-19,"BM",7,14.6,27.5,15.5166666666667,5.41625097718776
"11",2023-07-19,"CM",5.7,15,28.1,16.5486111111111,6.11030054021124
"12",2023-07-19,"SM",7.2,15.1,28.9,16.1875,5.50845540836227
"13",2023-07-26,"BM",15.4,27.5,38.3,27.4958333333333,5.88328828002806
"14",2023-07-26,"CM",17,26.9,37.5,27.675,5.09204709934736
"15",2023-07-26,"SM",19.4,29.3,36.3,29.2972222222222,4.39811010059594
"16",2023-07-31,"BM",14.1,24.7,30.8,24.3986111111111,4.15314213495207
"17",2023-07-31,"CM",17.5,27.15,34.9,26.9972222222222,4.08683810499029
"18",2023-07-31,"SM",16.5,26.75,35,26.5347222222222,4.05800060816127
"19",2023-08-30,"BM",9.9,19.9,29.9,19.7777777777778,5.31074441672548
"20",2023-08-30,"CM",2.7,17.9,31.2,18.3194444444444,7.14960136560151
"21",2023-08-30,"SM",9.4,20.55,29.4,20.4388888888889,4.96527535101772
"22",2023-09-06,"BM",6.9,21.4,34.7,20.3305555555556,9.33135919765944
"23",2023-09-06,"CM",4.2,20.1,32.7,19.7361111111111,8.96725350192366
"24",2023-09-06,"SM",9,23.6,34.9,21.9027777777778,8.95810235535834
"25",2023-09-14,"BM",8.6,16.65,27.8,16.6388888888889,5.2033725670941
"26",2023-09-14,"CM",4,14.95,27.5,16.2694444444444,6.59100195184802
"27",2023-09-14,"SM",9.5,17.6,31.3,18.5236111111111,5.91380559668373
"28",2023-09-20,"BM",9.3,16.9,29,17.4154929577465,4.4839283761109
"29",2023-09-20,"CM",6.4,16.7,30.4,17.3357142857143,5.31672329389549
"30",2023-09-20,"SM",8.9,18.55,28.7,18.7402777777778,4.82542152350437
"31",2023-09-27,"BM",31,35.85,40,35.8222222222222,1.97934561829972
"32",2023-09-27,"CM",17.9,35.35,39.7,34.1111111111111,4.68030201130845
"33",2023-09-27,"SM",20,35.6,40.1,35.3138888888889,2.7732782023231
"34",2024-07-01,"BM",24,34.85,42.7,33.7916666666667,4.26580738853225
"35",2024-07-01,"CM",20.1,36.5,46.3,37.2676056338028,4.67567488323152
"36",2024-07-01,"SM",25.8,37.7,47.1,37.9535211267606,4.3551227959042
"37",2024-07-12,"BM",14.7,28.95,43.9,29.0319444444444,4.58613422740762
"38",2024-07-12,"CM",17.9,33.6,41.5,32.5619718309859,5.11670558624766
"39",2024-07-12,"SM",21.7,31.25,40.6,31.5569444444444,3.86576983892915
"40",2024-07-16,"BM",17,26.05,32.7,25.5,3.80044474788019
"41",2024-07-16,"CM",20.4,33.85,38.5,32.4180555555556,4.33730384185711
"42",2024-07-16,"SM",22.6,31.5,39,30.8236111111111,3.35061453499628
"43",2024-07-24,"BM",24,33.35,38.6,32.9291666666667,3.1409802677275
"44",2024-07-24,"CM",20.7,34.05,40.4,33.2791666666667,5.02985278254588
"45",2024-07-24,"SM",22.6,36.05,40.9,35.5833333333333,3.41228105111976
"46",2024-08-08,"BM",25.8,33.15,39.3,33.1319444444444,2.58128837734395
"47",2024-08-08,"CM",16.6,34.35,39.4,33.0402777777778,4.94022465481709
"48",2024-08-08,"SM",27.4,34.1,40.4,33.7208333333333,3.0642848348833
"49",2024-08-12,"BM",16.9,26.5,30.6,26.0277777777778,2.34305820515382
"50",2024-08-12,"CM",22.6,31,38.4,31.0916666666667,3.38000541711375
"51",2024-08-12,"SM",19.9,28.4,34.5,28.3166666666667,3.22664959449175
"52",2024-08-23,"BM",13.4,26.25,31.6,25.7680555555556,3.1203930047211
"53",2024-08-23,"CM",20.2,30.75,37.8,30.7111111111111,4.82077533228648
"54",2024-08-23,"SM",14.9,28.7,35.5,28.2902777777778,3.97308407976113
"55",2024-08-28,"BM",26,34,38.3,33.6680555555556,2.9729686585562
"56",2024-08-28,"CM",20.2,36.1,40,35.1597222222222,4.3116827773454
"57",2024-08-28,"SM",21.7,35.05,40.4,34.5041666666667,3.65961737013238
"58",2024-09-04,"BM",13,22.9,35.6,24.0152777777778,5.68285436418792
"59",2024-09-04,"CM",19.5,29.55,44.7,30.8486111111111,5.54350255515678
"60",2024-09-04,"SM",17.2,26.15,43.2,27.1666666666667,6.34725181742483
"61",2024-09-25,"BM",7.6,14.95,23.8,14.7930555555556,3.74539440706526
"62",2024-09-25,"CM",10.2,18.5,35.3,18.8861111111111,5.60038493535044
"63",2024-09-25,"SM",7,15.55,27.9,16.1305555555556,4.60739267836428
