,sample_date,treatment,avg_NH4,sd_NH4
1,5/23/2023,BM,2.7,1.6
2,5/23/2023,CM,2.7,1.9
3,5/23/2023,SM,2.8,1.9
4,7/5/2023,BM,4.7,1.8
5,7/5/2023,CM,4.4,1.1
6,7/5/2023,SM,4.6,1.2
7,7/19/2023,BM,5.9,1.1
8,7/19/2023,CM,6.8,2.3
9,7/19/2023,SM,6.7,1.7
10,10/2/2023,BM,2.5,3.6
11,10/2/2023,CM,1.8,1.9
12,10/2/2023,SM,2.1,1.5
13,5/23/2024,BM,3.3,2.9
14,5/23/2024,CM,2.7,0.9
15,5/23/2024,SM,3.1,1.8
16,6/20/2024,BM,2.7,0.4
17,6/20/2024,CM,3.7,0.7
18,6/20/2024,SM,3.7,0.6
19,7/10/2024,BM,2.1,0.7
20,7/10/2024,CM,3.0,1.2
21,7/10/2024,SM,3.0,1.7
22,10/17/2024,BM,2.6,0.4
23,10/17/2024,CM,4.9,3.8
24,10/17/2024,SM,3.8,1.4
