,sample_date,treatment,avg_nitrate,sd_nitrate
1,5/23/2023,BM,35.3,7.3
2,5/23/2023,CM,38.4,9.2
3,5/23/2023,SM,37.2,10.5
4,7/5/2023,BM,13.5,7.5
5,7/5/2023,CM,10.0,3.9
6,7/5/2023,SM,12.4,2.2
7,7/19/2023,BM,10.3,3.8
8,7/19/2023,CM,7.7,2.8
9,7/19/2023,SM,8.0,2.2
10,10/2/2023,BM,7.9,2.1
11,10/2/2023,CM,7.0,1.6
12,10/2/2023,SM,7.7,2.4
13,5/23/2024,BM,15.3,3.6
14,5/23/2024,CM,16.5,2.0
15,5/23/2024,SM,14.9,1.5
16,6/20/2024,BM,4.8,1.1
17,6/20/2024,CM,6.5,4.7
18,6/20/2024,SM,5.9,2.1
19,7/10/2024,BM,4.6,1.2
20,7/10/2024,CM,4.3,0.9
21,7/10/2024,SM,4.7,0.9
22,10/17/2024,BM,4.1,0.7
23,10/17/2024,CM,5.0,1.2
24,10/17/2024,SM,4.5,1.1
