,sample_date,treatment,min_NO3,median_NO3,max_NO3,avg_NO3,sd_NO3
1,5/23/2023,BM,25.2,34.1,50.4,35.3,7.3
2,5/23/2023,CM,26.6,36.2,54.1,38.4,9.2
3,5/23/2023,SM,15.5,36.9,57.0,37.2,10.5
,,,,,,,
4,7/5/2023,BM,7.6,11.1,35.5,13.5,7.5
5,7/5/2023,CM,5.4,8.3,16.6,10.0,3.9
6,7/5/2023,SM,8.3,12.5,15.0,12.4,2.2
,,,,,,,
7,7/19/2023,BM,6.1,10.2,20.4,10.3,3.8
8,7/19/2023,CM,4.8,7.4,15.9,7.7,2.8
9,7/19/2023,SM,5.5,7.6,13.8,8.0,2.2
,,,,,,,
10,10/2/2023,BM,2.2,8.2,10.4,7.9,2.1
11,10/2/2023,CM,2.6,7.4,8.7,7.0,1.6
12,10/2/2023,SM,2.0,8.2,11.0,7.7,2.4
,,,,,,,
13,5/23/2024,BM,10.9,14.9,22.1,15.3,3.6
14,5/23/2024,CM,13.4,16.5,19.8,16.5,2.0
15,5/23/2024,SM,12.5,15.1,17.1,14.9,1.5
,,,,,,,
16,6/20/2024,BM,3.1,4.7,6.7,4.8,1.1
17,6/20/2024,CM,2.2,5.3,18.1,6.5,4.7
18,6/20/2024,SM,3.6,5.7,11.1,5.9,2.1
,,,,,,,
19,7/10/2024,BM,3.3,4.4,7.9,4.6,1.2
20,7/10/2024,CM,2.7,4.3,5.5,4.3,0.9
21,7/10/2024,SM,3.6,4.6,6.5,4.7,0.9
,,,,,,,
22,10/17/2024,BM,3.1,3.8,5.2,4.1,0.7
23,10/17/2024,CM,3.5,4.8,7.2,5.0,1.2
24,10/17/2024,SM,2.9,4.4,7.5,4.5,1.1
