,year,crop,treatment,min_yield,median_yield,max_yield,avg_yield,sd_yield
1,2023,AS,BM,83.6,89.4,96.8,89.8,6.0
2,2023,AS,CM,87.3,89.0,96.1,90.4,4.1
3,2023,AS,SM,86.1,91.0,94.6,90.7,4.3
,,,,,,,,
4,2023,DB,BM,100.0,100.0,100.0,100.0,0.0
5,2023,DB,CM,100.0,100.0,100.0,100.0,0.0
6,2023,DB,SM,100.0,100.0,100.0,100.0,0.0
,,,,,,,,
7,2023,FC,BM,67.9,75.0,87.0,76.1,6.9
8,2023,FC,CM,66.6,73.1,83.4,74.1,7.0
9,2023,FC,SM,69.4,72.8,75.4,72.7,2.7
,,,,,,,,
10,2024,AS,BM,14.1,44.5,79.9,45.7,27.2
11,2024,AS,CM,86.7,89.4,90.8,89.1,1.7
12,2024,AS,SM,31.7,81.7,93.2,72.1,27.4
,,,,,,,,
13,2024,DB,BM,96.1,99.0,100.0,98.5,1.7
14,2024,DB,CM,100.0,100.0,100.0,100.0,0.0
15,2024,DB,SM,100.0,100.0,100.0,100.0,0.0
,,,,,,,,
16,2024,FC,BM,50.1,55.7,89.4,60.6,16.4
17,2024,FC,CM,34.7,56.9,66.1,53.7,13.4
18,2024,FC,SM,43.7,50.2,62.5,50.9,7.7
