"","year","month","treatment","crop","min","median","max","mean","sd"
"1","2023",6,"BM","AS",14,22.75,30.3,23,4.40454310910905
"2","2023",6,"BM","DB",12.3,22.45,30.6,22.9458333333333,5.55000816032825
"3","2023",6,"BM","FC",9.4,20.9,30.5,20.9958333333333,6.13496601221347
"4","2023",6,"CM","AS",13,24.7,31.7,23.5541666666667,3.91862655250166
"5","2023",6,"CM","DB",13.8,25.1,32.3,24.9291666666667,5.10459973022343
"6","2023",6,"CM","FC",13.5,23.1,30.2,22.3958333333333,3.96906287994125
"7","2023",6,"SM","AS",12.9,25.2,32.2,24.4916666666667,4.71158762743669
"8","2023",6,"SM","DB",9.2,23,34.3,22.7333333333333,7.05035717051867
"9","2023",6,"SM","FC",11.1,24,33,23.3958333333333,4.57692503255441
"10","2023",7,"BM","AS",10.5,24.85,36.2,24.4616666666667,6.28648254154086
"11","2023",7,"BM","DB",7,22.8,37.4,21.12,8.08987955784907
"12","2023",7,"BM","FC",7,23.75,38.3,22.4875,7.57551964548701
"13","2023",7,"CM","AS",8,26.85,37.5,25.9141666666667,6.15781659211062
"14","2023",7,"CM","DB",5.7,22.8,35.7,21.0683333333333,7.61188790872632
"15","2023",7,"CM","FC",7.3,25.75,38.5,25.3791666666667,6.84457579307256
"16","2023",7,"SM","AS",11.4,27.7,37.7,26.6308333333333,6.3166951766871
"17","2023",7,"SM","DB",7.2,22.4,36.9,21.7266666666667,8.25658620049924
"18","2023",7,"SM","FC",11.1,25,37.5,24.9541666666667,6.87127617510094
"19","2023",8,"BM","AS",12.5,22,29.9,22,4.592053627925
"20","2023",8,"BM","DB",9.9,16.3,27.4,17.0708333333333,5.28233143245659
"21","2023",8,"BM","FC",10.7,20.15,28.5,20.2625,5.00302625808924
"22","2023",8,"CM","AS",10,21.1,30.6,20.7583333333333,5.79924407867594
"23","2023",8,"CM","DB",7.2,14.15,26.1,14.4541666666667,4.70854719278321
"24","2023",8,"CM","FC",2.7,20.15,31.2,19.7458333333333,8.83594335244043
"25","2023",8,"SM","AS",16.1,21.7,29.4,21.8541666666667,3.51357357619879
"26","2023",8,"SM","DB",9.4,15.55,23.2,16.0791666666667,4.00249695615849
"27","2023",8,"SM","FC",15.2,24.25,29.3,23.3833333333333,4.09513674100588
"28","2023",9,"BM","AS",8.3,21,40,22.6168421052632,10.1457322820304
"29","2023",9,"BM","DB",6.9,19.85,38.3,22.496875,9.47461376104866
"30","2023",9,"BM","FC",8.6,21.85,38.8,22.5958333333333,9.73893884489277
"31","2023",9,"CM","AS",4,19.85,39.7,20.96875,9.51305266739502
"32","2023",9,"CM","DB",5.5,20.2,39.6,21.9968421052632,9.92692933851276
"33","2023",9,"CM","FC",6.4,24.5,39.1,22.7284210526316,9.84105234770095
"34","2023",9,"SM","AS",9,23.05,40.1,24.0489583333333,9.13366237481948
"35","2023",9,"SM","DB",8.9,19.35,38.9,22.4479166666667,9.5536047665312
"36","2023",9,"SM","FC",9,24.8,40,24.3635416666667,8.72015354514341
"37","2024",7,"BM","AS",20.5,28.9,41.5,29.9604166666667,4.36624562721716
"38","2024",7,"BM","DB",14.7,31.05,43.9,30.4208333333333,6.14902502612649
"39","2024",7,"BM","FC",19.4,30.7,42.7,30.5583333333333,4.85522326803373
"40","2024",7,"CM","AS",19.7,35.4,45.4,34.6833333333333,4.83595452215495
"41","2024",7,"CM","DB",21.6,34.2,46.3,33.4115789473684,4.96114398179117
"42","2024",7,"CM","FC",17.9,34.4,45.3,33.52,5.6327990849945
"43","2024",7,"SM","AS",25.8,34.8,47.1,35.1978947368421,4.26968479945231
"44","2024",7,"SM","DB",22.6,34.4,45.3,34,4.61147310634317
"45","2024",7,"SM","FC",21.7,32.95,45.7,32.7114583333333,5.05689461171924
"46","2024",8,"BM","AS",22.6,28.8,39,29.1572916666667,3.83251311781781
"47","2024",8,"BM","DB",19.9,30.8,38.1,30.678125,4.7184119345613
"48","2024",8,"BM","FC",13.4,29.15,39.3,29.1114583333333,5.21507672228302
"49","2024",8,"CM","AS",16.6,33.9,39.5,33.0635416666667,4.46691038383277
"50","2024",8,"CM","DB",20.2,33.05,39.4,31.8364583333333,4.79890601111428
"51","2024",8,"CM","FC",20,33.3,40,32.6020833333333,4.87783340961229
"52","2024",8,"SM","AS",24.6,30.8,40.4,31.45625,3.73275156024699
"53","2024",8,"SM","DB",19.9,32.75,40.4,32.2,4.4382310368932
"54","2024",8,"SM","FC",14.9,29.85,38.8,29.9677083333333,5.11574442371508
"55","2024",9,"BM","AS",8.9,17.85,35.5,18.9020833333333,7.08127556676636
"56","2024",9,"BM","DB",10.1,19.3,35.6,20.88125,6.79992666574975
"57","2024",9,"BM","FC",7.6,18.05,30.3,18.4291666666667,5.93980293151618
"58","2024",9,"CM","AS",10.4,24.45,43.2,24.2416666666667,7.87111155829471
"59","2024",9,"CM","DB",10.9,26.45,38.7,25.9333333333333,7.12628736658898
"60","2024",9,"CM","FC",10.2,24.75,44.7,24.4270833333333,9.42950867570778
"61","2024",9,"SM","AS",8.2,22.45,39.8,20.8583333333333,7.91214615244111
"62","2024",9,"SM","DB",7,22.6,43.2,23.3645833333333,7.74026470445523
"63","2024",9,"SM","FC",9.9,18.35,41.8,20.7229166666667,7.69313702396516
